country,policy_title,category,publication_date,summary,source_url
European Union,Latest News,General AI Policy,11 December 2025,Europe is transforming into the AI continent by fostering the development and uptake of new AI applications while ensuring that AI remains safe and respect EU values.,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,General AI Policy,2025-12-14,"The Commission has opened a formal antitrust investigation to assess whether Google has breached EU competition rules by using the content of web publishers, as well as content uploaded on the online video-sharing platform YouTube, for artificial intelligence (AI) purposes.",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Regulation,2025-12-14,The AI Office is preparing guidelines to ensure a smooth implementation of the AI Act.,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Regulation,2025-12-14,The AI Board met on Thursday 4 December to discuss the Digital Simplification Package and review current priorities for implementing the AI Act.,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,General AI Policy,2025-12-14,The Apply AI Strategy is the EU’s overarching Artificial Intelligence (AI) sectoral strategy and...,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Innovation,2025-12-14,"The EU’s approach to artificial intelligence promotes excellence and trust, by boosting research and...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,General AI Policy,2025-12-14,"The European AI Office is the centre of AI expertise across the EU, that promotes the development...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Innovation,2025-12-14,"The EU is spearheading AI research, collaborating with scientists, and funding projects to achieve...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Regulation,2025-12-14,AI Factories leverage the supercomputing capacity of the EuroHPC Joint Undertaking to develop...,https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,General AI Policy,2025-12-14,"By supporting the diffusion of digital health technologies, Europe can achieve a triple win: better...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,General AI Policy,2025-12-14,"Language Technologies are opening the gateway to a more connected, innovative, and accessible Europe...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
European Union,Untitled Policy,AI Regulation,2025-12-14,"The EU actively promotes research, job creation and innovation through better and safer robots...",https://digital-strategy.ec.europa.eu/en/policies/artificial-intelligence
